# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.399358760565519333e-03 1.340289949439466000e-03 4.787430465221405029e-01 4.264368675649166107e-03 1.340289949439466000e-03 4.787430465221405029e-01
1.000000000000000000e+03 8.800154901109635830e-04 8.598969434387981892e-04 2.858998195733875036e-04 4.832049889955669641e-04 8.598966524004936218e-04 2.858997904695570469e-04
2.000000000000000000e+03 1.476253091823309660e-04 5.257187876850366592e-05 3.406974792596884072e-05 8.146181062329560518e-05 5.257186057860963047e-05 3.406978794373571873e-05
3.000000000000000000e+03 6.639501953031867743e-05 2.962557300634216517e-05 1.120788056141464040e-05 3.812965951510705054e-05 2.962591861432883888e-05 1.120793604059144855e-05
4.000000000000000000e+03 2.859464984794612974e-05 1.712828634481411427e-05 6.224961452971911058e-06 1.634389082028064877e-05 1.712817902443930507e-05 6.225108791113598272e-06
5.000000000000000000e+03 1.869915831775870174e-05 1.057395547832129523e-05 3.981939698860514909e-06 1.108715514419600368e-05 1.057383906299946830e-05 3.981923782703233883e-06
6.000000000000000000e+03 1.415117731085047126e-05 6.934037173778051510e-06 2.529809762563672848e-06 8.605153198004700243e-06 6.934031262062489986e-06 2.529837502152076922e-06
7.000000000000000000e+03 1.138406878453679383e-05 4.434887614479521289e-06 1.806796376513375435e-06 6.987832421145867556e-06 4.434861239133169875e-06 1.806842419682652690e-06
8.000000000000000000e+03 9.602315913070924580e-06 2.920752422141958959e-06 1.327151039731688797e-06 5.926072844886220992e-06 2.920811994044925086e-06 1.327189124822325539e-06
9.000000000000000000e+03 8.380253348150290549e-06 1.997368826778256334e-06 9.643922567192930728e-07 5.168988536752294749e-06 1.997339268200448714e-06 9.644227247918024659e-07
1.000000000000000000e+04 9.728212717163842171e-06 4.060234641656279564e-05 7.313972309930250049e-05 6.313834546745056286e-06 4.060276114614680409e-05 7.313997775781899691e-05
1.100000000000000000e+04 2.922780549852177501e-05 4.644189175451174378e-06 2.372320523136295378e-05 2.124039565387647599e-05 4.644318323698826134e-06 2.372310882492456585e-05
1.200000000000000000e+04 6.531752205773955211e-06 8.154755164468951989e-07 6.537251806548738386e-07 4.110101599508197978e-06 8.154771649060421623e-07 6.536429850712011103e-07
1.300000000000000000e+04 2.108822991431225091e-05 3.415540049900300801e-06 5.375161435949848965e-07 1.426856033504009247e-05 3.415410219531622715e-06 5.375390514927858021e-07
1.400000000000000000e+04 5.370275630411924794e-06 4.112415865620278055e-07 3.992958284015912795e-07 3.219568498025182635e-06 4.112350495688588126e-07 3.992866766111546895e-07
1.500000000000000000e+04 6.305517217697342858e-06 8.866590519573946949e-07 1.980145498237106949e-06 4.207032361591700464e-06 8.867096994435996749e-07 1.980112756427843124e-06
1.600000000000000000e+04 7.226472916954662651e-06 5.814961809846863616e-07 4.181605106623464962e-07 5.081457402411615476e-06 5.815149961563292891e-07 4.181974873063154519e-07
1.700000000000000000e+04 5.858091753907501698e-06 3.569830937522056047e-07 5.574303827415860724e-07 3.941023805964505300e-06 3.570456499346619239e-07 5.574440251621126663e-07
1.800000000000000000e+04 1.211761446029413491e-05 4.844268346460012253e-07 3.379832151040318422e-06 8.041578439588192850e-06 4.844456498176441528e-07 3.379819418114493601e-06
1.900000000000000000e+04 4.196249847154831514e-06 2.617585721509385621e-07 2.669065395366487792e-07 2.387462927799788304e-06 2.617324525999720208e-07 2.668977288067253539e-07
2.000000000000000000e+04 3.766612735489616171e-06 1.721109867958148243e-07 2.293365923833334818e-07 2.190043460359447636e-06 1.721076330341020366e-07 2.293419640864158282e-07
2.000000000000000000e+04 3.766612735489616171e-06 1.721109867958148243e-07 2.293365923833334818e-07 2.190043460359447636e-06 1.721076330341020366e-07 2.293419640864158282e-07
2.001900000000000000e+04 3.765604560612700880e-06 1.696883344948219019e-07 2.290293679152455297e-07 2.194309900005464442e-06 1.696898408454217133e-07 2.290403244842309505e-07
