# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.171670079231262207e-01 9.341316223144531250e-01 9.174830913543701172e-01 9.341316223144531250e-01 9.815953969955444336e-01
1.000000000000000000e+03 1.280628930544480681e-04 4.561508074402809143e-02 1.322432799497619271e-04 4.561508074402809143e-02 2.684591412544250488e-01
2.000000000000000000e+03 9.044684702530503273e-06 4.530800506472587585e-02 9.357883755001239479e-06 4.530799016356468201e-02 2.677424550056457520e-01
3.000000000000000000e+03 4.721177538158372045e-05 4.435171559453010559e-02 4.787580110132694244e-05 4.435172304511070251e-02 2.655289173126220703e-01
4.000000000000000000e+03 5.424812901765108109e-03 2.204427495598793030e-02 5.760636646300554276e-03 2.204426750540733337e-02 2.062323540449142456e-01
5.000000000000000000e+03 1.119857747107744217e-02 8.475467562675476074e-03 1.189299859106540680e-02 8.475470356643199921e-03 1.532274484634399414e-01
6.000000000000000000e+03 7.023769430816173553e-03 5.898289382457733154e-03 7.512597832828760147e-03 5.898287054151296616e-03 1.359096020460128784e-01
7.000000000000000000e+03 3.135748440399765968e-03 3.089213510975241661e-03 3.482942236587405205e-03 3.089218633249402046e-03 1.066167429089546204e-01
8.000000000000000000e+03 2.049634000286459923e-03 1.719836494885385036e-03 2.345317974686622620e-03 1.719838357530534267e-03 8.604700118303298950e-02
9.000000000000000000e+03 1.590372878126800060e-03 1.098404638469219208e-03 1.840380020439624786e-03 1.098403590731322765e-03 7.347755134105682373e-02
1.000000000000000000e+04 1.318864058703184128e-03 7.503801025450229645e-04 1.531678019091486931e-03 7.503801025450229645e-04 6.460659205913543701e-02
1.100000000000000000e+04 1.135933445766568184e-03 5.253134295344352722e-04 1.317764632403850555e-03 5.253141862340271473e-04 5.775212123990058899e-02
1.200000000000000000e+04 1.017680973745882511e-03 3.746088768821209669e-04 1.177797326818108559e-03 3.746095753740519285e-04 5.203407257795333862e-02
1.300000000000000000e+04 9.422064176760613918e-04 2.773498126771301031e-04 1.087565324269235134e-03 2.773492306005209684e-04 4.726842790842056274e-02
1.400000000000000000e+04 8.908860036171972752e-04 2.138975105481222272e-04 1.024465775117278099e-03 2.138962590834125876e-04 4.330686479806900024e-02
1.500000000000000000e+04 8.523013093508780003e-04 1.706326875137165189e-04 9.756103390827775002e-04 1.706329640001058578e-04 3.990942239761352539e-02
1.600000000000000000e+04 8.180831791833043098e-04 1.392415142618119717e-04 9.326776489615440369e-04 1.392401900375261903e-04 3.688780218362808228e-02
1.700000000000000000e+04 7.931901491247117519e-04 1.154736310127191246e-04 9.007585467770695686e-04 1.154739220510236919e-04 3.415234014391899109e-02
1.800000000000000000e+04 7.712468504905700684e-04 9.693946049083024263e-05 8.738405886106193066e-04 9.694078471511602402e-05 3.171870484948158264e-02
1.900000000000000000e+04 7.280318532139062881e-04 8.317959145642817020e-05 8.275003056041896343e-04 8.318020263686776161e-05 2.965407073497772217e-02
2.000000000000000000e+04 6.106452783569693565e-04 6.905235932208597660e-05 7.125420961529016495e-04 6.905214831931516528e-05 2.792501077055931091e-02
2.100000000000000000e+04 4.535650368779897690e-04 7.213577919173985720e-05 5.546207539737224579e-04 7.213623030111193657e-05 2.665213868021965027e-02
2.200000000000000000e+04 2.060871338471770287e-03 7.466196984751150012e-05 2.124223625287413597e-03 7.466226088581606746e-05 2.439474686980247498e-02
2.300000000000000000e+04 7.338060095207765698e-05 4.746343256556428969e-05 1.936007902259007096e-04 4.746349077322520316e-05 2.476994507014751434e-02
2.400000000000000000e+04 5.380310467444360256e-04 4.677445758716203272e-05 6.749444291926920414e-04 4.677326069213449955e-05 2.456571348011493683e-02
2.500000000000000000e+04 4.802950425073504448e-04 3.590922642615623772e-05 5.737556493841111660e-04 3.590887718019075692e-05 2.256417460739612579e-02
2.600000000000000000e+04 1.852607674663886428e-04 3.967924203607253730e-05 3.096826840192079544e-04 3.967954398831352592e-05 2.299158088862895966e-02
2.700000000000000000e+04 2.944137435406446457e-03 3.916461719200015068e-05 3.094444982707500458e-03 3.916537389159202576e-05 2.241908572614192963e-02
2.800000000000000000e+04 1.378301822114735842e-04 3.024549550900701433e-05 2.417806535959243774e-04 3.024563193321228027e-05 2.090181782841682434e-02
2.900000000000000000e+04 3.317166920169256628e-05 4.150419772486202419e-05 1.197248784592375159e-04 4.150286258663982153e-05 2.190837822854518890e-02
3.000000000000000000e+04 9.358118986710906029e-04 4.597267979988828301e-05 9.956653229892253876e-04 4.597245424520224333e-05 1.979222334921360016e-02
