# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 8.629253134131431580e-03 5.986418947577476501e-02 7.004509568214416504e-01 7.088484242558479309e-03 5.986418947577476501e-02 7.004509568214416504e-01 1.276908636093139648e+00
1.000000000000000000e+03 6.973098497837781906e-04 1.162898610346019268e-03 5.984887247905135155e-04 6.530907703563570976e-04 1.162898610346019268e-03 5.984887247905135155e-04 2.845003902912139893e-01
2.000000000000000000e+03 2.214716078015044332e-04 5.290349872666411102e-05 4.874302612734027207e-05 2.346609981032088399e-04 5.290349872666411102e-05 4.874302612734027207e-05 2.809994518756866455e-01
3.000000000000000000e+03 9.799644612940028310e-05 7.965069016790948808e-06 1.959544897545129061e-05 1.133540790760889649e-04 7.965069016790948808e-06 1.959544897545129061e-05 2.813794314861297607e-01
4.000000000000000000e+03 6.647784903179854155e-05 7.032653229543939233e-06 1.249033812200650573e-05 7.575416384497657418e-05 7.032653229543939233e-06 1.249033812200650573e-05 2.819127738475799561e-01
5.000000000000000000e+03 3.391700447537004948e-04 4.108774737687781453e-05 4.381314647616818547e-05 3.236385236959904432e-04 4.108774737687781453e-05 4.381314647616818547e-05 2.792961895465850830e-01
6.000000000000000000e+03 3.566637678886763752e-05 2.207469378845416941e-06 4.317351795180002227e-06 4.019020707346498966e-05 2.207469378845416941e-06 4.317351795180002227e-06 2.809707820415496826e-01
7.000000000000000000e+03 3.474046388873830438e-05 7.640495823579840362e-06 7.507818281737854704e-06 3.595358793972991407e-05 7.640495823579840362e-06 7.507818281737854704e-06 2.811106443405151367e-01
8.000000000000000000e+03 2.421644057903904468e-05 1.478457852499559522e-05 1.770813651091884822e-05 2.629585469549056143e-05 1.478457852499559522e-05 1.770813651091884822e-05 2.832797467708587646e-01
9.000000000000000000e+03 2.009719173656776547e-05 1.259099803974095266e-06 1.970229959624703042e-06 2.113787195412442088e-05 1.259099803974095266e-06 1.970229959624703042e-06 2.809004485607147217e-01
1.000000000000000000e+04 1.622310082893818617e-05 8.769114288043056149e-07 1.429304120392771438e-06 1.638431422179564834e-05 8.769114288043056149e-07 1.429304120392771438e-06 2.810353338718414307e-01
